id_municipio,ano,populacao_total,id_municipio_nome,pib,impostos_liquidos,valor_adicionado_precos_correntes_total,valor_adicionado_correntes_agropecuaria,valor_adicionado_correntes_industria,valor_adicionado_correntes_servicos,valor_adicionado_correntes_adm_defesa_edu_saude_seguranca_social,NM_UF,NM_UF_SIGLA,CD_MUN,AR_MUN_2024,nome_municipio,total_alfabetizados,quantidade_matricula,nome,centroide,nome_mesorregiao,longitude,latitude,pib_per_capita,va_per_capita,taxa_alfabetizacao,taxa_matricula,densidade_populacional,participacao_impostos,taxa_va_agroupecuaria,taxa_va_industria,taxa_va_servicos,taxa_va_addess,cluster_original,cluster_hierarquico
4209607,2016,15032,Lauro Muller,324999000,16754000,308245000,42493000,87662000,109565000,68526000,Santa Catarina,SC,4209607.0,271.852,Lauro Müller (SC),11308,3176,Lauro Muller,POINT(-49.4526309397717 -28.3844446863042),Sul Catarinense,-49.4526309397717,-28.3844446863042,21620.476317189998,20505.92070250133,0.7522618414050026,0.2112825971261309,55.294792754881335,0.0515509278490087,0.1307480946095219,0.2697300607078791,0.3371241142280438,0.2108498795380909,3.0,1.0
4209607,2017,15103,Lauro Muller,355274000,18729000,336545000,39162000,106247000,120108000,71028000,Santa Catarina,SC,4209607.0,271.852,Lauro Müller (SC),11308,3203,Lauro Muller,POINT(-49.4526309397717 -28.3844446863042),Sul Catarinense,-49.4526309397717,-28.3844446863042,23523.40594583857,22283.32119446468,0.7487254187909687,0.2120770707806396,55.55596427467887,0.0527170578201613,0.1102304137088557,0.2990565028682088,0.3380714603376549,0.1999245652651193,4.0,3.0
4209607,2018,15174,Lauro Muller,374041000,21898000,352143000,34217000,115065000,129030000,73832000,Santa Catarina,SC,4209607.0,271.852,Lauro Müller (SC),11308,3352,Lauro Muller,POINT(-49.4526309397717 -28.3844446863042),Sul Catarinense,-49.4526309397717,-28.3844446863042,24650.125214182157,23206.99881376038,0.74522209041782,0.2209041781995518,55.817135794476414,0.0585443841717886,0.0914792763360166,0.3076267040244251,0.3449621832900671,0.1973901256814092,4.0,3.0
4209607,2019,15244,Lauro Muller,386641000,22335000,364306000,38505000,114999000,133188000,77615000,Santa Catarina,SC,4209607.0,271.852,Lauro Müller (SC),11308,3336,Lauro Muller,POINT(-49.4526309397717 -28.3844446863042),Sul Catarinense,-49.4526309397717,-28.3844446863042,25363.487273681447,23898.320650747835,0.7418000524796642,0.2188401994227237,56.07462884216413,0.0577667655525409,0.0995885071681482,0.2974309501578984,0.3444745901236548,0.2007417733763362,4.0,3.0
4209607,2020,15313,Lauro Muller,412406000,24989000,387418000,41666000,123561000,142981000,79209000,Santa Catarina,SC,4209607.0,271.852,Lauro Müller (SC),11308,3306,Lauro Muller,POINT(-49.4526309397717 -28.3844446863042),Sul Catarinense,-49.4526309397717,-28.3844446863042,26931.75733037289,25299.941226408933,0.738457519754457,0.2158949911839613,56.328443417742015,0.060593201844784,0.1010315077860166,0.2996100929666396,0.3466996115478436,0.1920655858547159,4.0,3.0
4209706,2016,12083,Lebon Régis,248571000,9523000,239048000,109051000,18420000,62887000,48690000,Santa Catarina,SC,4209706.0,941.64,Lebon Régis (SC),8033,2916,Lebon Régis,POINT(-50.7026795301522 -26.8580592393074),Oeste Catarinense,-50.7026795301522,-26.8580592393074,20571.96060580981,19783.82851940743,0.6648183398162708,0.241330795332285,12.831867805105986,0.0383109855936533,0.4387116759396711,0.0741035760406483,0.2529941143576684,0.1958796480683587,1.0,2.0
4209706,2017,12091,Lebon Régis,223593000,9728000,213865000,81133000,19181000,61635000,51915000,Santa Catarina,SC,4209706.0,941.64,Lebon Régis (SC),8033,2936,Lebon Régis,POINT(-50.7026795301522 -26.8580592393074),Oeste Catarinense,-50.7026795301522,-26.8580592393074,18492.51509387148,17687.9497146638,0.6643784633198246,0.2428252419154743,12.8403636209167,0.0435076232261296,0.362860196875573,0.0857853331723265,0.2756571091223786,0.2321852651916652,1.0,2.0
4209706,2018,12099,Lebon Régis,247027000,10966000,236062000,88795000,25720000,67606000,53942000,Santa Catarina,SC,4209706.0,941.64,Lebon Régis (SC),8033,2938,Lebon Régis,POINT(-50.7026795301522 -26.8580592393074),Oeste Catarinense,-50.7026795301522,-26.8580592393074,20417.14191255476,19510.868666831968,0.6639391685263245,0.242829985949252,12.848859436727412,0.0443919085767952,0.3594546345136362,0.1041181733170868,0.2736785857416395,0.2183647941318155,1.0,2.0
4209706,2019,12107,Lebon Régis,319477000,13833000,305644000,135184000,32760000,81021000,56679000,Santa Catarina,SC,4209706.0,941.64,Lebon Régis (SC),8033,2896,Lebon Régis,POINT(-50.7026795301522 -26.8580592393074),Oeste Catarinense,-50.7026795301522,-26.8580592393074,26387.792186338484,25245.23003221277,0.6635004542826464,0.2392004625423308,12.857355252538126,0.0432988916260012,0.4231415720067485,0.1025425930505169,0.2536051108530504,0.1774118324636828,1.0,2.0
4209706,2020,12115,Lebon Régis,365857000,15023000,350835000,166144000,40712000,87933000,56046000,Santa Catarina,SC,4209706.0,941.64,Lebon Régis (SC),8033,2977,Lebon Régis,POINT(-50.7026795301522 -26.8580592393074),Oeste Catarinense,-50.7026795301522,-26.8580592393074,30198.67932315312,28958.728848534876,0.6630623194387123,0.2457284358233594,12.86585106834884,0.0410624916292431,0.4541227856785574,0.111278450323487,0.2403480048215559,0.1531910008555255,1.0,2.0
