,id_municipio,id_municipio_nome,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
220,1101708,Urupá,2002,47558000,2686000,44872000,10575000,2951000,7749000,23597000
221,1200179,Capixaba,2002,32492000,1873000,30619000,11917000,4483000,3333000,10886000
222,1302306,Jutaí,2002,49342000,1266000,48076000,20982000,1708000,3986000,21399000
223,1303403,Parintins,2002,271105000,12573000,258532000,89588000,14636000,58099000,96208000
224,1400308,Mucajaí,2002,51824000,2224000,49599000,3439000,5873000,8615000,31673000
225,1502103,Cametá,2002,226174000,5519000,220655000,94306000,7158000,39060000,80131000
226,1503903,Juruti,2002,69605000,2119000,67486000,30703000,2854000,10562000,23366000
227,1506005,Prainha,2002,66770000,1377000,65393000,28232000,7074000,7056000,23032000
228,1506195,Rurópolis,2002,55189000,1474000,53715000,19082000,3769000,9459000,21405000
229,1507003,Santo Antônio do Tauá,2002,66573000,2529000,64043000,26154000,7076000,12501000,18312000
230,1507151,São Domingos do Araguaia,2002,41839000,1583000,40256000,8315000,1880000,10524000,19537000
231,1705508,Colinas do Tocantins,2002,124418000,17244000,107175000,6667000,14627000,57723000,28158000
232,1718550,Riachinho,2002,7831000,235000,7596000,1915000,347000,1395000,3939000
233,1721208,Tocantinópolis,2002,59738000,6321000,53417000,1751000,4551000,24252000,22863000
234,2100709,Anajatuba,2002,27897000,492000,27405000,9762000,895000,5222000,11525000
235,2101103,Axixá,2002,12405000,275000,12130000,2430000,470000,2984000,6246000
236,2103125,Central do Maranhão,2002,7346000,146000,7200000,1126000,385000,1278000,4411000
237,2104099,Formosa da Serra Negra,2002,26520000,491000,26029000,12786000,1120000,3612000,8511000
238,2104651,Governador Newton Bello,2002,15820000,258000,15562000,5312000,581000,2143000,7526000
239,2106102,Loreto,2002,20034000,363000,19671000,9326000,965000,3439000,5941000
240,2108058,Paulino Neves,2002,12708000,184000,12525000,2762000,464000,1723000,7575000
241,2110278,Santo Amaro do Maranhão,2002,9323000,137000,9187000,2114000,271000,1349000,5453000
242,2111052,São João do Paraíso,2002,24227000,468000,23759000,12471000,935000,3646000,6707000
243,2111607,São Raimundo das Mangabeiras,2002,64763000,2101000,62662000,31215000,6982000,15678000,8787000
244,2111789,Serrano do Maranhão,2002,7795000,119000,7676000,1877000,301000,1215000,4283000
245,2200608,Angical do Piauí,2002,9313000,391000,8922000,965000,212000,2936000,4809000
246,2203859,Floresta do Piauí,2002,3565000,88000,3477000,465000,108000,649000,2255000
247,2206803,Nossa Senhora dos Remédios,2002,8527000,212000,8316000,694000,219000,1572000,5830000
248,2207108,Olho D'Água do Piauí,2002,3644000,81000,3563000,758000,131000,634000,2040000
249,2210656,Sigefredo Pacheco,2002,11231000,236000,10995000,1220000,291000,1894000,7589000
250,2301703,Aurora,2002,44918000,1673000,43245000,12160000,1981000,10161000,18944000
251,2306702,Jaguaretama,2002,40864000,1049000,39814000,15957000,1916000,6788000,15154000
252,2311009,Poranga,2002,16018000,489000,15528000,2437000,552000,3025000,9514000
253,2311231,Potiretama,2002,10205000,237000,9968000,2954000,346000,1747000,4921000
254,2402808,Coronel Ezequiel,2002,9739000,266000,9474000,1343000,447000,1419000,6264000
255,2405504,Jardim de Angicos,2002,5752000,165000,5588000,614000,262000,902000,3810000
256,2410256,Porto do Mangue,2002,97930000,1456000,96475000,1190000,74701000,14793000,5791000
257,2411056,Tibau,2002,15344000,517000,14828000,1034000,5045000,4161000,4587000
258,2412005,São Gonçalo do Amarante,2002,561285000,119636000,441649000,7272000,244803000,100543000,89031000
259,2501153,Areia de Baraúnas,2002,3726000,84000,3642000,306000,75000,483000,2777000
260,2505238,Cuité de Mamanguape,2002,10656000,195000,10461000,1710000,278000,1772000,6701000
261,2600054,Abreu e Lima,2002,275815000,34626000,241189000,4637000,78570000,87358000,70624000
262,2602308,Bonito,2002,92787000,3220000,89568000,26761000,5352000,20324000,37130000
263,2610509,Passira,2002,43223000,1274000,41949000,4521000,1354000,9848000,26226000
264,2612455,Santa Cruz,2002,19876000,488000,19389000,4020000,362000,3450000,11557000
265,2701803,Carneiros,2002,21554000,197000,21357000,12048000,772000,2424000,6113000
266,2801405,Carira,2002,43170000,2019000,41151000,5824000,2238000,10433000,22656000
267,2905305,Cafarnaum,2002,31572000,1101000,30471000,12885000,1175000,5860000,10550000
268,2906105,Canápolis,2002,14582000,391000,14192000,3641000,787000,2599000,7165000
269,2911253,Gavião,2002,7102000,262000,6840000,1636000,184000,1514000,3506000
270,2915502,Itajuípe,2002,86495000,11551000,74944000,20711000,17410000,20134000,16689000
271,2915908,Itanagra,2002,22129000,960000,21169000,3831000,8544000,3762000,5033000
272,2916609,Itapitanga,2002,21435000,795000,20640000,7159000,750000,4156000,8575000
273,2917201,Ituaçu,2002,26544000,1038000,25506000,5347000,1114000,6275000,12770000
274,2921708,Morro do Chapéu,2002,72547000,3303000,69243000,18084000,3326000,25069000,22764000
275,2923605,Paramirim,2002,45887000,2926000,42961000,7345000,3341000,19584000,12691000
276,2929800,Saúde,2002,21070000,1107000,19962000,3128000,1003000,5833000,9999000
277,3100708,Água Comprida,2002,26311000,1158000,25153000,12851000,1574000,6518000,4210000
278,3111606,Campos Gerais,2002,112578000,4150000,108428000,38474000,7223000,35776000,26955000
